GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (AES-Twofish),hybrid,104588.0,104611.0,104603.5,104607.5,95.0,95.0,95.0,95.0,53.0,54.0,53.25,53.0,2170.07,9970.81,4866.77,2312.81,19.27,88.52,43.21,20.53,0.0,98.0,31.0,0.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Serpent-AES),hybrid,174495.0,224999.0,200296.12,199283.5,95.0,97.0,96.38,97.0,56.0,68.0,60.25,57.5,2170.07,9970.81,8406.94,9970.81,19.27,88.52,74.64,88.52,0.0,98.0,67.8,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Twofish-Serpent),hybrid,180576.0,225256.0,206107.62,210953.0,95.0,97.0,96.25,97.0,56.0,68.0,61.0,58.5,2173.01,9973.75,8409.88,9973.75,19.29,88.55,74.66,88.55,0.0,97.0,66.87,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1536 bit (AES-Twofish-Serpent),hybrid,66698.0,66765.0,66735.25,66740.5,96.0,100.0,96.75,96.0,52.0,53.0,52.75,53.0,2173.01,9972.25,4366.98,2314.25,19.29,88.53,38.77,20.55,0.0,97.0,24.84,0.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (AES),hybrid,219577.0,219927.0,219795.5,219806.5,94.0,95.0,94.75,95.0,55.0,55.0,55.0,55.0,2172.16,9978.81,5518.59,2310.81,19.28,88.59,48.99,20.51,0.0,99.0,36.83,0.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Serpent),hybrid,353719.0,474280.0,415273.78,408464.0,50.0,97.0,90.67,96.0,57.0,70.0,61.33,58.0,2173.01,9983.75,8305.17,9983.75,19.29,88.63,73.73,88.63,0.0,97.0,61.86,90.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Twofish),hybrid,351985.0,474608.0,411273.56,402529.0,79.0,97.0,93.78,96.0,57.0,70.0,61.33,58.0,2168.07,9980.31,8301.63,9980.31,19.25,88.6,73.7,88.6,0.0,97.0,68.71,95.5,
NVIDIA GeForce GTX 1080 Ti,Django(PBKDF2-SHA256),hybrid,61763.0,71012.0,66901.33,71012.0,97.0,98.0,97.78,98.0,57.0,72.0,62.67,59.0,1146.75,7197.4,6266.3,7196.84,10.18,63.9,55.63,63.89,0.0,97.0,67.38,97.0,
NVIDIA GeForce GTX 1080 Ti,DNSSEC(NSEC3),hybrid,33109534.0,34057881.0,33551035.45,33410649.0,95.0,97.0,96.0,96.0,54.0,54.0,54.0,54.0,1145.54,4178.84,2785.81,3641.84,10.17,37.1,24.73,32.33,0.0,72.0,17.65,0.0,
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials(DCC) MSCache,hybrid,774299996.0,1427688340.0,1258566682.4,1411473174.5,19.0,96.0,74.6,94.5,52.0,55.0,53.7,54.0,1140.91,4168.27,2540.68,1280.27,10.13,37.01,22.56,11.37,0.0,95.0,21.61,0.0,
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials2(DCC2) MSCache2,hybrid,195652.0,195904.0,195750.25,195728.5,95.0,96.0,95.88,96.0,59.0,59.0,59.0,59.0,1146.06,5916.71,3818.55,5916.71,10.17,52.53,33.9,52.53,0.0,98.0,48.85,48.5,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1(context3),hybrid,26188.0,26660.0,26600.0,26658.0,91.0,94.0,93.12,94.0,56.0,57.0,56.5,56.5,1146.19,7302.84,2819.26,1284.84,10.18,64.83,25.03,11.41,0.0,98.0,22.42,0.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1+localcontext,hybrid,40505.0,40532.0,40525.75,40531.0,94.0,95.0,94.38,94.0,57.0,57.0,57.0,57.0,1146.19,6252.84,2676.3,1284.84,10.18,55.51,23.76,11.41,0.0,98.0,24.52,0.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2(context3),hybrid,14537.0,18225.0,15603.71,14991.0,96.0,99.0,97.29,98.0,58.0,58.0,58.0,58.0,1143.98,9381.15,4055.07,1285.15,10.16,83.28,36.0,11.41,0.0,99.0,31.25,0.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2+ActiveDirectorydomaincontext,hybrid,29741.0,29802.0,29786.88,29798.5,95.0,95.0,95.0,95.0,56.0,57.0,56.75,57.0,1146.19,7700.84,3795.3,1284.84,10.18,68.37,33.69,11.41,0.0,98.0,33.0,0.0,
NVIDIA GeForce GTX 1080 Ti,Drupal7,hybrid,20770.0,20772.0,20771.0,20771.0,92.0,93.0,92.75,93.0,56.0,56.0,56.0,56.0,1144.04,5852.84,3551.42,3568.84,10.16,51.96,31.53,31.68,0.0,98.0,43.5,0.0,
NVIDIA GeForce GTX 1080 Ti,eCryptfs,hybrid,7711.0,7719.0,7716.75,7718.0,94.0,95.0,94.5,94.5,55.0,55.0,55.0,55.0,1146.19,5852.84,3377.22,1284.84,10.18,51.96,29.98,11.41,0.0,97.0,36.73,0.0,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type1-3),hybrid,171632313.0,185568512.0,175025694.9,174142278.5,88.0,95.0,93.0,94.0,57.0,58.0,57.8,58.0,1146.19,4172.84,3051.41,4172.84,10.18,37.05,27.09,37.05,0.0,99.0,42.58,26.5,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type4),hybrid,83716.0,83768.0,83746.12,83754.0,96.0,100.0,99.38,100.0,54.0,54.0,54.0,54.0,1144.04,6860.84,3752.71,1284.84,10.16,60.91,33.32,11.41,0.0,100.0,36.7,0.0,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type5),hybrid,79732.0,79839.0,79796.25,79807.0,96.0,100.0,98.5,100.0,52.0,53.0,52.62,53.0,1146.19,4764.84,2468.15,1284.84,10.18,42.3,21.91,11.41,0.0,98.0,29.09,0.0,
NVIDIA GeForce GTX 1080 Ti,EthereumPre-SaleWallet PBKDF2-HMAC-SHA256,hybrid,272913.0,273660.0,273454.25,273570.0,85.0,94.0,92.75,94.0,59.0,59.0,59.0,59.0,1142.29,7196.84,3982.79,1284.84,10.14,63.89,35.36,11.41,0.0,97.0,40.12,0.0,
